entry_word,synonyms
synohem:,"shih kundërvihet, Ser:"
da,Nature di o shih krahas TO përqësit 0 E
ballamar,shih litar (i trashë)
ballanik,shih Dimë
ballanike,baski '
ballanxhë,"Brakive, shih pellë g"
ballargj,end shih ballëndritti vs
"ballas,",ballaz shih: peailë Shi haptas T
ballcë,shih ballore
ballçak,krahin shih lesë
"ballë,","shih ballinë: ballësore, ballanik: shih"
"kokë,","Krye, pararojë: shih faqe: shih fillim:"
fronti,"fig shih ajkë: majë, cëkës shih përballë"
"ballë,",Shih krehër (fishekësh )-
pallëçelët,shik krenar : 0
ballëgelur,"shih krenar, shih qeshur (Me"
ballëflori,shih ballëndritur:
ballëfshehur,shih turpshëm (1)
ballëgështenjë,shik ballëndritur:
ballëgrep,shih ballëhark
ballëgjerë,"ballëlartë, ballëmadh"
ballëhapët,shih krenarisht
ballëhapur,shih krënar: shih sinqertë 0 shih
ballëhark,ballëgrep
ballëhënë,shih ballëndritur
ballëkërcyer,shih ballëdalë
ballëkrënar,shih krenar: :
ballëlart,shih krenarisht
ballëlartë,shih ballëgjerë: shik krenar
ballëmadh,shih ballëgjerë
ballëndritur,"ballargjend, ballëflori, J"
"ballëgështenjë,","ballëhënë, ballëpraruar,"
ballëvënetik:,shih krënar
ballëngrysur,"shih mërzitur G, zymtë GQ"
ballënxirë,"shih mërzitur (1), zymtë (QY :"
ballëpraruar,shih ballëndritur: U
ballërrudhur,shih mend unë (1): Sdi T mërzitur
(i),zymtë (1) Ki
ballësoj,vjet shih përballoj në së
"ballësor,","kaptell, balluk, vjet: bri kokësjs shih"
"shullë,",E i
"ballësor,",shih ballor: T I ve td
ballësore,shih ballë: shih shullë al
ballëtar,shih prijës: SHR Përçor md Ji
ballëtor,shih përçor she
ballëvenetik,shih ballëndritur ti
ballëvrenjtur,shih mërzitur (1): zymtë G
ballgam,"shih këlbazë, 3"
ballicë,shih shami Koke)
banik,shik përdorur D:
bankënotë,shih kartëmonedhë : Ki
banoj,"rri, strehohem, jetoj, TTOj, qëndeoj:"
banor,"banuesi: vetë, Shpirti vjet Shtëpiak oë"
ps,i  J Panjëkajtore shih Viske: shih: pe E
baligun,"krahifishih dushk, shpardh I"
ballkanas:,ballkanik
ballkanik,shih ballkanas
ballo,vjet shih vallëzim pu e
(I,ballor shih përparmë 1: shih gjkë (hë )
zgjedhur',(1)
ballore,shih ballinë: ballcë
balltje,shih sëpatë (e madhe)
balluke,shih cullufe: shih flokë da
ballukezi,shih flokëzi E
ballulur,shik kokulur: shih mërzitur: 6): shih
thjeshtë,(shih nënshtruar: GM
bam,"burti, shih befas cen e Kg"
bamë,krahin vjët shih baltëgore
bamirës,"mirëbërës, filantrop  4 e dër"
bamirësi,"mirëbërësi, filantropi, vjet Hë"
banal,shih rëndomtë (1): shih KE Qa
banderolë,shih: parullë E
"bandë,","orkestër, fanfarë, muzikë she i"
"bandë,",Shih fashë: shih shirit - ët
"pandë,",fig: keq shih hordhi' hd 2 Dertainë
bandill,"bis djalosh, shih bukurosh, keq shik"
bandit,"kës: keqbërës, cub, kusar, gangster"
"kriminel,",krahincubel
banditizëm,"kusari, ënbni' gangsterizëmi"
(Panesë,"shtëpi, strehë, apartament, kullë,"
banëshih:,kasolles shih vathë
banikeshih,bythë- së ën Të
banim,Shih vendbanim: vjet shih banesës:
banket,shih gosti
bankë,shih kamërie: shih: Storii
KSI,sje
Sh,shih popullsi si:
Nlixhëjs,shih dushj' banjë turke aniam
(vjet),AJ je Gere eli
ENI,jë Ter
SJE,pe KS NA
"bar,","shililaç, shik insekticid: fi '8: Shih shpëtim"
"bar,",shih lokal
"bar,","(i njomë) njomsh: bardjë, shih kalkore:"
kashturina:,"bari keq plaçkë: shih lëndinë,"
fig,shih pashijei) në
bar,argjendi shih: këputje
bar,ariu shih krahnjer
bar,balsami shih lule balsami
bar,"blete milcë, lule limoni, bar mjalt, lule"
"blete,","blëtëz, gunezë, lulebletë, mjaltë,"
"ndjellës,",pshelinok
bar,"breshke çakllaz, halmucë, kalth, ,sakëz"
bar,buçi shih bar gjarpri ma
bar,i dalës shih bar plasjeje AR ty së ët
bar,delli shih gjethe delli t hë
bar,dhëmballe shih arrës jt es
bar,"ethesh trikë, bar thiu, aksh"
bari,"dreqit shih kuskutë,: 95"
bar,guri shih gjunjëz i
bar,gjaku shih brishtmis: Sesa 5
bar,gjarpri bar buçi KS Tu Dë Pt do
bar,gjedheni shik këputje S
bar,i gjësë shih'bar plesjejë Da de
bar,hikrraqi shih sykë::' SE ES S
bar,"hirre bar përdhesi, bar hirrëze, bar"
"kolaneci,","bar lëngose, bardhesë"
bar,hirrëze shih bar hirrë
bari,hidhët shih rrushkull më
bar,jodi shih tamblagjak: Kr
bar,"me kokë shih tërfil seti J si së për jetes,"
bar,kolaneci shih bar hirre ha
bar,kripi shih përçuk- D së se ps
bar,kryezi shihbari së paerarës
bar,kulaçi shih sodë buke DA të Në 5 E '
bar,lëngose shih bar hirrë 0
bari,lotzonjës shik drekëz at vë pë a së
bar,i madh shih shpendër adë Masi
bar,miu shih shparg 0
bar,"mizash mizardytës, mizashfarosës,"
bar,mjaiti shih bar blete: gë E kon 4 I isë
bar,"ngalose shih gurgullshë, -"
bar,ngjitës shih gjunjëz  st tt
bar,"isë paemirës bar ve aj bar E shpërgëi,"
bar,përdhes shihibar hirre::
bar',plagësh shih melhem 5 Ps
bar,"plakash shih vjeshtë, ulë vjesht"
bar,"plasjeje bar i dalës, bari' gjësë Ka pa"
bar,të preri shih lulebalsami ': N
barasnatë,shih sanatadita: ë
baraspeshë,"balancë, ajar, bis terezi:"
baraspeshim:,"drejtpeshim, kundërpeshim,"
"barasvlerënjëvlerësi,",Hjëvlershmëri:
barezoj,"vë shenjën baras të barazimit), V në e"
bar,"i qelbur qelbës, rrunjë"
bar,shpërgëtie shih bar isë ' paëmtësi ë
bar,shpirrë shih kuskutë E E
bar,shpretke shih tyzë
bar,tambli shih gurmështore
bar,i trashë shih madërgonë  E
bar,"thëllëze thërrokë, thërrokorës xerxele,"
"lulefin,","trush thëllëze, qershi 6 egër TA"
bar,thiu shih bar ethesh 5
bar,uji shih maraskë
nja,SE
bar,urdhj eje shih rrushqyqë ve ën ao
bari,verdhë shih kuskutë
bar,"zemre agnushe, sanëz"
barabar,shih barasss' Të patë
barabarësi,shih barazi: e
barabartë,"(i, e)- njëjtë: GJ njëllojtë G)"
njënjëshëm,"(i), vjet njëshëm (i), identik:"
barabis,shth barazojss barabitem shih
barazohem,-
barabrinjë,ës brinjënjëshëm në i et 5
"barazisht,","njëtrajtësisht, 'krahas, 'dërig: dënga,"
"dëngëza,","tamam, një me: një: njëpërnjë,"
"njënjë,","një, njësh, bisfit, Eomarazi, ngjel hë,"
krahin,"çift, vjet mjësisht o shën Tra"
baraspeshoj,"drejtpeshoj: kundërpeshoj,"
"balancoj,",bis terezis:
Shih,njëvlershëm 0
barasvlershëm,(i): ae
barasvlershëm,"6) barasvlerës, njëvlershëm"
OJ,përgjegjës 5
barazi,shih baras: E E
barazi,"barabarësi, barazimit: njënjëshmëri, Në"
"-njëjtësi,","njëjësim,, paritet, vjet: njëjësit:"
identifikimi,"shih rrafshim, niv limi"
nhjëjtësimin,I
-'krahasoj:,"përqas, njësoj: njëjtësoji: vjeti"
njëjësoj:,"shih identifikoj, shih'rrafshoj,"
niveloj:,"barazohem barabitein, Matemi Në"
"radhitën,","krahasohem, përqasem, vjel"
"njëmendohei,",shih identifikohëm: v: I
"njësohet,","njëjtësohet,, vjet njëjësohet"
barazuar,"(i,e) barabitur (i), matur (1), njësuar"
"(1),","njëjtësuar (1), vjet njëjësuar (1): shih"
krahasuar,"(1), përqasur (1): shih mbyllur D"
barazues,shih njësues
barazuëshëm,(i) shik krahasueshëm G
barazh,shih digë
barbalush,"krahilt shih mëmëligë, kaçamak"
barbar,"egër (i) mizor, çnjerëzor, shkatërrimtar,"
pamëshirshëm,"(1), pashpirt (i), vandal, tiran,"
"vrasës,",kundërnjerëzor F
barbari,"egërsi, mizori, barbarizëm,"
"kanibalizëm,","varidalizëm, rrënim në"
barbarisht,"egërsisht, mizorisht, çnjerëzisht"
barbarizëm,shih barbari të
barbarozë,"elbatozë, idërshahë E"
bar-bufe,shik lokal (për të ngrënë e përi të pirë )
barbull,"çapëz, shih mekës 8"
barbunjë,shih bishtajë:
bardredhshih,dredhkë
bardh,shih zbardh:
bardha,"(të) shih brendshrië (të), Hinjta të):"
shik-ujëra:,"shih lashta (të), shih bulmet:"
bardhaç,shi zbehtë (1) e
bardhak,shih gotë: shih ibrik Pe E
bardhak,shih bardhë (i) ao
"bardhan,",shik balash
"bardhan,",shih bardhë (i): shih gimebardhë
bardhe,Kabardhe (dhi)
bardhemë,"(i, e) shih zbehitë (1): shih thinjosh t"
bardhesë,shih bar hirre :
bardhë,"(i,e) bardhush, bardhushari: bardhash,"
"bardhosh,","bardhor, bardhok, bardhak: )"
"bardhëllor,","bardhemë 1, bardhëllemë (0,"
-'bardhëremë,"(i), lëbardhë (i): bardhonjë,"
bardhiskë:,"borë, shkumë: shih: thinjur ():"
shih,zbëhtë (1): shih: ndritshëm (1): shih
bujar:,shih fatbardhë: shih: mirë M5 shi
çiltër,(1): shih: pashkruar (i)--
bardhëllemë,G e) shih pardhë 0 shi
zbehtë,(1) -
bardhëllimë,shih zbardhëllimë: shih ndrigisv
bardhëremë,G e) shih bardhë (5 Shih
-Zbehtë,(i)
PROTECTED0,çiltëris 0
"baritur,","(i, e) shih pashije (i): I"
"aritur,","G, e) bis shih bredhur (1), shëlitir iGY"
bark,"mullë (bis, edhe keqi), bis: mullëz,"
Në,barkaliq
bardhiskë,"shik bardhë (e), bardhoshes"
bardhish,shih qimebardhë Kë
bardhkë,shih lule dele So
bardho,"shih balash: shih qimebardhë,"
hit,bardhë (i) shik gimebardhë
"barok,",dhë (1): shiti qimëbardhë
IL,bardhonjë shih bar
bardhësh,shih b
ardhë,GO) shih zbehtë 6) shik
thinjur,(1:
bardhuk,shth: bardhemë O
bardhulin,shik albinos
bardhush,shih bardhosh :
bardhushan, shih bardhosh
barelë,shik vi gë
bares,"bis shih eci, shih shëtis: shih ditaret st"
bareshë,"çobaneshë, çobankë, blegë, Toparej"
"lopçare,",krahin delmerë ps U
bargjan,"Shih këputje, tjrerië 3 qanë"
"cangadhiar,","bravar, dhiar, dhenar' krahin"
"delmer,","shelegar, shterpars tubaniks gomarjar,"
"lopar,","lopçar, viçar, patar, pelar, She Dali"
baribojë,shih mullibardhë: 2 Jr e etë
barishte,"barni,"
"barurina,:",njoitësira'
"njomështira,","njomishte, krahin blazhdëras"
"lakra,","lakrurina, Jakërishte, g gjelbërima"
barishtor,baror:'
baritje,bis shih ecje: ëshët shëtitje: shih nxitimi
"plëndës,","shkëf, lukth, zgorkë, zerof tullë:"
keq,"barkalec, krahin, cullak,  Shqilë, zemër:"
gojë:,shih stomak: shih mitër: shiligjis shik
"brez,",shih shpirt: shih brendësi: rdizenteri:
"diarre,","bizgë, purthës lëbarkejzcërtlë:"
"përputh(ë),","spirë, heqje barku, spitëgjake:"
"amel,","shkulë, bark i keq: bis: Pa T"
barkaç,"shih babëzitur (i), lakmitar :"
barkaçe,"barkashore, barkorë:: si:"
bar-kafe,shih lokal Ko  E
barkalaq,"barkales, barkanjos, batkdetr"
"barkaliq,","barkdosë: barkmadh:: barkfrytë,"
"barkashor,","barkkacek, barkbuall: barkledhj"
"barkuc,","barkvozë, barkaalë: unit kë"
"zhabalok,","mullac, 'mullëmiadh ie sbisi"
"mullësh,","dangall, J sit"
cullani,55 :
barkalec,shih parat bis hihi
barkaliq,shih hi pa Dha
barkanjos,shih barkalaq
barkar,"barkëtar, varkat, varkëtar, lundërtar,"
"vozitës,",'trapar
barkari,IS: shih zhduk: bar karisen shih
bar,"kas, barkazi përmbys, snasjellas,"
barkashor,shih barkalaq e
barkashore,shih barkaçe: shih shtammbë
barkbosh,shih barkzhrazur
barkbuall,shih barkalaq
barkcalik,krahin shih barkalaq
barkcullak,krahin shih parkjashtë: shih
barkdalë,shih barkalaq
barkderr,shik barkalaq
barkdërrasë,shih barkzbrazur
barkdosë,shih barkalaq 7
barkdreq,"shih parazit, bis keq qylaxhi"
barkë,"varkë, lundër, sandall, katanike, sul,"
"sule,","take, bis kaike"
barkës,shih barkore: barkth
barkëse,shih barkores
barkësim,shih lakim ( muri)
barkëson,shih lakohet (muri Të
barkëtar,shih barkar
barkfryrë,shih barkalaq
barkgjerë,shih dorëlëshuar: shih bujar skort
me,vezë
barkjashtë,"barkzbuluar: krahin, batkcullak: i"
shih,rreckaman: shih zhveshur Qe
barkje,shih barkore: REEN
barkkacek,shih barkalaq LT
barkkalbur,shih shpirtkëq: shih: zgjat
barkkatua,shih babëzitur D lakmitare
barkkeq,shih shpirtkeq ST
barkledh,shih barkalaq:
barklesh,shar shih metë 0 trashë 0)
budalla,-
barklubi,shih babëzitur GQ
barkmadh,shih barkalaq: shih nborkaçi
barkmbushur,shih barkngopur ::
Dë,"barknginjur shih barkagopur, shi pasur 6) i"
barkplot:,shih pasur 6)
barkngushtë,shih shpirtvo gë: shih zier
barkonjë,shihibarkore  të
barkore,"neçe: jelek, llapore, barkës: shih"
barkaçe:,"Dakës barkje, inënbarkëz, bo"
JI,barmë shik zbardhulinës P
bartha,"shik grykë, bajam së"
barun,krahin murrash:: së
barkos,shih dend: shih përvjel: bakliosem
shih,dendem
barkosh,shih barkalaq
barkpangopur,shik: barkzbrazur: shik
babëzitur,"(i), lakmitar"
barkpanginjur,shih parkzbrazur: shih
babëzitur,"(i), lakmitar"
barkplot,shih barkngopur: shih pasur G-
barkstihi,"krahin shik babëzitur (i), lakritar"
barkshpellë,shih babëzitur (i): lakmitar
barkshpuar,shih babëzitur Gi lekrmitari
barkshuar,shih Dala orizi I
barkth,shih barkës
barktharë,shih barkzbrazur: shih shterpë:
barkthatë,"shih: barkzbrazur: shih shterpë,"
shih,varfër (1)-
barkthes,"shih babëzitur G), lakmitar"
barkuc,shih barkalaq es Sh ës
barkvozë,shih barkalaq: shih babëzitar 0) Ko
barkzbrazur,"barkpangopur, bëtkpangiriuë,"
"barkzgropur,","barkthatë,: barktharë,"
"barkshuar,","uritur (1), urët (1), pangrënë (i),"
pangopur,"(i), panginjur G), buzëthatë,"
"barkdërrasë,","barkbosh, Zorrëbosh,"
"zorrëthatë,","Zorrëtharë,'"
barkzbuluar,shih barkj ashtë: shik rrcckamman
barkzgropur,shih barkzbrazur:
barkzhveshur,shih GRAT
bar-lulishte,lulishte :
barnashitës,shih farmacist
barnatar,shih farmacist
bariiatore,shih farmaci at d
barni,shih Barisiitë het eve
barohet,baron : ns ves
barojë,shih bar i ke
baror,shih barishtot 5
barshkumbës,shih shkëmëz i
bart,shih: mbart: shih mbaj barteim shik
mbartem,e
bartë,"(i, e) shih pashije G'"
bartës,shih mbartës: shih hamall:
bartore,shih-vig:: pë
barurina,shili barishte dë E
barut,agzot: mb shih gjallë (1)
barutore,vjet shih vezme
bartë,"shih ngarkesë, shih e shih I"
Shtatzënësi:,shih pajë: shih kokëçarje: shik
shumë:,shih shumicë
barrësim,shih mbar sje
barrëson,shih mbars: barrësohet shiti mbarset Në
barrëtor,shih hamall
barroj,shih ngarkoj: barrohem marr përsipër
barros,shih ngarkoj: barrosem marr përsipër
barrosje,shih ngarkim E hir
barrosur,"(i, 6Y shih ngarkuar Gj"
barrsë,"mbarsë, rëndë (e) ( kafshë N"
barrsëri,"mbarsje, mbarsëri, ndërzime"
barrshëm,(i) shih rëndë (1): shih rëndësishëm
"(1),",me pëshë 2-0
basamak,"shih shkallare: shih pak,"
bas,kaba
basen,shih pelle
baski,shih ballanikë::
baskore,krahin Shih petavër
bast,kaull (bes Dë kusht 5:
bastar,shih kasolle ( barinjsh Je
bastard,shih dobiç: ishih keq jo: shih
bastardim,shih zvetënim
bastardoj,shih zvetënoj b bastardohem shik st
zvetënohem,Dë
bastarduar,"(i, e) shih zvetënuar Pb)"
bastarduës,shih zvetënuës
bastër,shih vrugj shih erë
bastërohet,shih vrngo
bastis,rroboj
bastun,shih shkop
bash,shih ajkë: shih kete
bash,bis shih pikërisht :
bashibozuk,hist keq ushtar: i çregull)
bashkanëtar,bashkëpjesëtar
bashkari,shih bashkësi
PROTECTED0,bashkë
bashkatdhetar,"bashkëkombës, bashkëvendës, '"
"bashkëpatriot,","vëlla, vjet njëgjakës,"
bashkazi,shih bashkë::: së E re
bashkekzistencë,shih' pashkëjeresë
bashkekzistoj,shih bashkëjetoj :
bashkë,shih leshi i deles: gëzof
bashkë,"bashkas: bashkazi, E en"
"shoqërisht,","tok, sëtoku, rrëthas, tog: tufë,"
"shuk,","kruspull, bashku, (së) të: gjithë, S"
bashkëpërkim,shih përkim
bashkëpjesëtar,shih bashkanëtar:
"bashku,","të gjithë në një vefid, si Njëttupi"
"vetëm,","dora-dorës, grumbull lëmuq, grup,"
"PUGUr,","ngjitur ngjitas: njëzaj: njëzëri,"
"kolegjialisht,","kolektivisht, top, vetë i (dytë,"
tretë,"etj),- vjet pjësisht, avari, shih"
njëkohësisht,"T,"
bashkëbanor,bashkëbanues
bashkëbisedë,shik bisedës shihe rrahje
bashkëbisedim,"bashkëbisedim, bashkëtja aim"
bashkëbisedues,shih bisedues
bashkëfolës,shih bisedues : -
bashkëfshatar,"bashkëkatardar,"
bashkëjetesë,"bashkëqenie, bashkekzistencë"
bashkëjetoj,bashkekzistoj:  Bu na
"kohanik,","modern, sotëm (1), sofshëm 0),"
kohës,"(i), ri (1), vjet njëkohës:"
bashkëkohor,shih bashkëkohës 5-5: të
bashkëkombës,shih bashkatdhetar a
bashkëlidh,shih bashkëngjis- E
bashkëlidhje,shih bashkëngjitjes sshih
bashkëlindur,"(i, e) shih lindur (1)"
bashkëluftëtar,"bashkëluftues, shok armësh"
bashkëluftues,shih bashkëluftëtar: sshih aleat më
qJ,bashkëmoshatar shih moshatar :
bashkëngjitje,"shtesës shtojcë, aneksim,"
bashkëlidhje:,përngjitje -
bashkëngjitur,"Ki, ) shtuar G), aneksuar 0)"
bashkëlidhur:,përngjitur (i)
bashkënxënës,"bashkëshkollar, shok Kis"
"(banke,",shkolle)
bashkëpajtim,shih përkim -
bashkëpronar,bashkëzotërues:
bashkëpronësi,1 bashkëzotërim:
bashkëpronësoj,bashkëzotëroj:-: S
bashkëpunëtor:,"bashkëveprues, Kooperusi së"
Shih,"ortak, simahor shih korrespondent"
në,"rrethana të caktuara ligjërimore, përkatësisht që mund të plotësohen me fjalë të"
tjera,"përcaktuese  , përpikësuesë Kjo do të thotë që ky fjalor sinonimik 1 gjuhës"
shqipe,u drejtohet në radhë të parë njohësve të mirë të kësaj gjuhea së paku atyre që
"bardh-zbardh,","kuq-skuq, verdh-zverdh, harr-tëharr e sa e sa të tjera, për dallimet e"
holla,"kuptimore midis tyre, përdoruesi specialist është i lutur të mbajë parasysh sa"
është,thënë prej nesh të mënyra intensive e veprimit në veprën Aspekti dhe mënyrat
në,"raste të tilla, S: nis biseda, Hyn, dimri, plas grindja, zë shiu etj, ose rastet, kur"
përdorimi,- sinonimeve të ndryshme të fjalës është në vartësi të shtrirjes së tyre
"krahinore,","Si p sh çupë, gocë, çikë etj N 'ga ky këndvështrim detyra e fjalorit sinonimik si"
qëndron,"në parashtrimin e listave sa më të plota t' të fjalëve sinonime, nga të cilat çdo"
përdorues,në varësi nga rrethanat e dhëna ligjërimore zgjedh atë që i hyn në Punë
Listat,"përbëhen në radhë të parë nga ti alë, të cilat përdoruesi i i fjalorit i i nje jeh1 mirë, por"
mund,"të mos i kujtohen në Gastin që i duhen Pra, fjalori ua kujton këto fjalë"
përdoruesve,"të tij Së dyti, fjalori ua Zgjeron atyre këtë fond fjalësh me sinonime të"
"tjera,","të cilat ata mund PROTECTED5 'Kenë dëgjuar, pot nuk ua dinë ine përpikëri Kuptimin, osë e"
nuki,"i kanë dëgjuar kurrë më parë Së trëti, sinofimet e dhëna janë të tilla (Q në njërën E"
rijëra,"e mijëra fjalë të gjuhës shqipë, të cilat në fjalorin sinonimik mungojnë, për"
arsyen,"e thji është sepsë nuk kanë sinonimë Po kështu ka' mij ëra të tjera, të cilat vetëm"
për,"disa e nganj jëherë vetëm për nj ërin nga kuptimet  tyrë kanë: sihohime, ndërsa për E"
kuptimet,e tjera të tytë i mundt tër mos skenë: Pikërisht ky fakt e dallon n fjal alorin sinonir ja ik
nga,"fjalori shpjegues E, pëe Artet"
Sinonimet,"në fjalor hukj janë tërditir n më lë çelë kuptiore, por, për lehtësi n më stë -"
madhe,"përdorimi, thjesht alfabetikisht ' e i"
'Shtysën, parë për t' i hyrë kësaj punë e dhanë kolegët Eamond' dra dhë shref
"Ymer,",të cilëve 1 u pal rënë në sy ' pësoi sinonimike e e tja alorit t gjerash shqibi
Nisurr,nga a bindja seai kjo për vetë' 6 vëllimisi ë tij prëj 87 800: Yfj kësh shtjelluar sa
në,"gati 2500 faqe, do PROTECTED5 'shërbente një: numii PROTECTED9 madh aq edhe të 'Tarmishëm e"
përdoruesish,(ndër ta edhe: gjermariistëvë: ë indoëuropianistëve): por ëdhë' për' t
treguar,së shqipja zotëron një: pasuri të tillë lëksikorë c qëe lejon të përballët dënjësisht ë
dhemë,"gjuhë të lëvruara e të përpunuaraj siç është gjermanishtja,' autorët kanë dhënë :"
jo,të vogël sinonimesh e shprehjesh: sinonimike: Në punëri e tyre shumëvjeçare S
për,"gjyhën nge shtë, PE në radhë: të Fparë ngon i mre kë bëri të niste Kjo)"
bashkëpunim,"bashkëveprim, kooperirn,"
krahazini:,"ortaki, ortakëri"
bashkëpunoj,"bashkëveproj, koopetoj,"
"krahazoj,",bie (hidhem) në krahët (e paa i
bashkëqenie,shik bashkëjetesë
bashkëqeverisje,ndërsufdim
bashkëqytetar,bashkëqytetas
bashkëqytetas,"Shih bashkëqytetar  ,"
bashkërendim,"bashkërenditje, Nidhje,"
bashkërendis,shih bashkërëndoj
bashkërenditës,bashkërendues :
bashkërenditje,Shih bashkërendim sa
bashkërenditur,e) bashkërenduar G
bashkërendoj,"bashkërëndis: harmonizoj,"
"Bërshetoj,",kombinoj
bashkërenduar,"(i, ) shih bashkërenditur G:"
bashkërendues,shih bashkërenditës
bashkëri,shih ngjashmëri: shih shoqëri: shih
bashkësi:,shih bashkim: shih tipar
bashkërisht,Shih bashkë: shih njëherëshe
bashkësi,"bashkari, bashkëri: bashkim,"
"përbashkësi,","Komunitet, komunë: Shik njësi,"
unitet:,shih tërësi: shih: vëllazëti
bashkëshkollar,shih bashkënxënës:'
bashkëshkrijshih,shkrij
bashkëshoqërues,shih shoqërues : Ga
bashkëshort,"burrë, bis Shoq short, dhëndër"
krahin,ortak p
bashkëshorte,"grua, nuse, bis shoqe"
bashkëshortor,martesor Ket
bashkëtingëllim,shih aemon E
bashkëtingëllon,shih harmonizolist
bashkëvarësi,shih ndërvarësi 1 -i cë so
bashkëvendës,"shih bashkatdhetar, ' ë"
bashkëveprim,Shih (bashkëpunim:
bashkëveproj,shi bashkëpunoj: ndërveproj dd
basikëveprugë,Sh: sr Bashkëpunën Or:
bashkëzotërim,"shih 'A bashkëpronësi,"
bashkëzotëroj,shih bashkëpr onësoj
bashkëzotërues,shih bashkëpronar:
bashki,hist katundësi
bashkim,"lidhje, shkrirje, ngërdhim, ve Li fi"
"bashkësi,","unitet, n Jsim, organizim: çik, vlene përk"
"puthitje,",përnejitje dk daci Pës 8
bashku,(së) shih bashkë
bashkues,"lidhës, lidhor"
batall,bis shihkot:
HE,batallis shih psh
bashkoj,"lidh, pubis, puq,ngjis, përngjis,"
"takoj,","tuboj, ngërthej, shkrij: Shih takoj: shih"
"përziej,","thur, shih grumbulloj, shih martoj:"
shih,gërshetoj: shih njësoj: shih organizoj:
bashkohem,"lidhem, puthitem, puqem,"
"ngjitem,","takohem, fubohëm, mblidhem,"
"miratoj,","përkrah, mbështes, pajtohem,"
"radhitëm,","lëthurem, rrështohem,"
solidarizohem:,shih martohem: shih
takohem:,"v ZI puqen, përngjiten, përzihen,"
"priten,","takohen, Shih, Sërsheiohet,"
kombinohet:,shih ngjitet Pap
bashkuar,"(i,e) puqur (1), ngjitur G), puthitur"
"(1),","lidhur (i), shkrirë (1), pandarë (1),"
përbashkuar,"(1), një, përngjitur G shih"
njësuar,(i)
bashtinë,shih kopsht
bat,shih ulët (): shih fundosur GA
"baltovinë,","batakovinë, baltore, gjol, letë,"
"llucë,","ngecë, kllaçë, ledh, , ledhishtë,"
"lymërishtë,","lymore, lëngjerë, Hlurbë: she shih"
batakçi,"bis shashtiues maskara, kallp,"
"kallpazan,","xhambaz, matrapaz, kodosh,"
"ndyrësirë,","qelbësirë, poshtër (1), ndyrë (i),"
ëlliqur,"(1) fëlliqësirë, dorëfëlliqur,"
"sharlatan,","fe batak, pleh, DIS Pizevene,"
batakçillëk,"bis Shëshërint, meskorallëk,"
"ndyrësi,","poshtërsi, fëlliqësi, pisilëk,"
"dallavere,","xhambazilëk, pak"
batakovinë,Shih batake ER
batalion,tabor (vjet Je i se të
batall,bis shih papërdorshëm O:s shih gj jer:
batallinë,shih batallishtë ë dis pl st E
tb,"bateri plë (e shpë), vi që"
batërdi,bis shih dëm: shih shkatërrim: shih
kërdi:,"zallahi, zallamahi, zhurmë, potere,"
"shamatë,","burbujë, gurgule: shih rrëmujë"
batërdis,"bis shih dëmtaj: shih shkatërroj, shih"
rraskapis:,"batërdisem bis shih dëmtohëm,"
shih,Shkatërrohem: shih rfaskapitem
batërdisje,shih tr askapitje
batërdisur,"bis G, e) shik dëmtuar GR shih"
shkatërruar,(1): shih rraskapitur (1)
baticë,"vërshim, burë"
batim,shih përmbysje: shih anim
batinas,shih rrasash
batis,bis shih shkatërroj: shik: përb shih
bis,degdis: shih rraskapis: shih beh: v LT)
Shik,fundosem: batisetrbis v NI shih
fundosem:,v II shih përmbysem
batisferë,shih batiskaf
batisje,bis shih shkatërrim: shih përmbysje
shih,fundosje: shih kontroll (i i beftë N
batiskaf,"hidrostat, batisferë '"
patisur,"(i, e) bis shih fundosur 0: shik E"
Shkatërruar,6
batoj,shih anoj: shih përmbys: batohëm si shik
anoj:,v LL shik përmbysëm
batok,shih batak: -
batraç,"duhan i keq, duhan vjeshtak, stelë"
batuar,Gje) shih anuar dy Shi përmbysur
G):,shih rrëzuar (1)
bathë,deti shih çiçibanoz
bathër,shih badër e
bathishtë,"shih bathore,"
"bathore,",bathishtë
baule,shih arkë
baxhanak,mjeshtalë '
baxhë,"kapanxhë, pult, shik frëngji"
baxhi,vjet shih lasë e
baxho,shih bylmetore
bazal,shih themëlor '
bazë,themel: shih pikëmbështetje shih
vendstrehim:,shih Kesh
bazënisje,shih pikënisje
bazim,shih mbështetje '
bazoj,"shih mbështes,"
bazuar,"(i,e) shih mbështëtur 6), ërgjuesi tuar O"
pazohem,shih
"bebe,","shih shë, E"
JI,"begati bollëk, fabushulli: mbushullim, NA"
së,"I begenis bis shih përfill, shih: denijo"
"bebe,","bebëz, ninëz, 28:"
bebëz,"shi bebe,"
bec,bis shih qengj
bedël,shih kot I
beden,shih dhëmbëz: dhëpi:
beditëm,shih shfaqemi shi bezdis
bedunicë,shih sherbelë
bedhoj,krahin shih përfill
bef,tërr i I
befa,vjet shih peng: PE PER
befas,"befasisht, papritur papritinas,"
"papandehur,","papandehurazi, 'Papritmazi,"
"-pakujtimas,","tradhmend, bis gafil: brof,"
"bum,","gand, Si rrufe në gjell të hapur, papritut"
befasi,beh 4 Pë NA
befasim,shih habi
befasishëm,"(i) beftë GQ papritur: 4),"
papandëhur,Gy shih menjëhershëm 9
befasisht,shih bëfas:':
befasoj,"shik habis: befasohem si shih habitëri,"
